time_ms,ppg_red,ppg_ir,ax,ay,az,gx,gy,gz,motion_mag
92603,96272,105413,0.001709,0.015747,1.006836,-0.183105,0.244141,-0.061035,1.006961
92765,99986,112015,0.003540,0.016968,1.004883,-0.366211,0.061035,-0.671387,1.005032
92924,100714,112658,0.003052,0.015381,1.006714,-0.244141,-0.061035,-0.488281,1.006836
93085,100217,102037,0.003296,0.015869,1.006714,-0.244141,0.000000,-0.244141,1.006844
93245,94882,101728,0.002686,0.015869,1.006836,-0.427246,-0.122070,-0.061035,1.006965
93406,98710,99920,0.001587,0.015503,1.005249,-0.366211,-0.183105,-0.122070,1.005370
93567,90449,91471,0.001831,0.015991,1.005493,-0.244141,0.000000,-0.061035,1.005622
93726,88191,97908,0.002319,0.015503,1.005005,-0.122070,-0.061035,-0.122070,1.005127
93887,99361,89864,0.002075,0.018555,1.004028,-0.244141,0.000000,-0.305176,1.004202
94048,98260,100620,0.001099,0.015625,1.005493,-0.183105,0.000000,-0.183105,1.005615
94207,95488,104515,0.002075,0.016968,1.006348,-0.244141,-0.122070,-0.610352,1.006493
94369,98345,101228,0.002319,0.023682,1.005493,-0.305176,0.000000,-1.525879,1.005775
94528,95619,93433,0.000977,0.016235,1.007202,-0.305176,-0.122070,-0.305176,1.007333
94689,94520,103305,0.000244,0.013428,1.006104,-0.427246,0.061035,-0.427246,1.006193
94850,96983,102119,0.000610,0.013184,1.005859,-0.244141,0.122070,-0.244141,1.005946
95009,96321,102646,0.000977,0.015259,1.005737,-0.305176,0.000000,-0.122070,1.005854
95171,96449,100148,0.000977,0.015869,1.005127,-0.366211,0.000000,-0.122070,1.005253
95330,93873,94404,0.001831,0.016113,1.005615,-0.305176,0.000000,-0.061035,1.005746
95491,92123,79657,0.000000,0.016235,1.004761,-0.305176,0.000000,-0.122070,1.004892
95652,91294,93929,0.000122,0.015869,1.005859,-0.183105,0.000000,-0.061035,1.005985
95812,92556,104194,0.001343,0.016846,1.006104,-0.183105,-0.061035,-0.549316,1.006245
95973,97868,105259,0.001953,0.017334,1.006836,-0.305176,0.000000,-0.183105,1.006987
96132,96681,100032,0.002441,0.015747,1.005859,-0.244141,0.000000,-0.061035,1.005986
96293,94654,100840,0.000366,0.016968,1.004883,-0.305176,0.000000,-0.061035,1.005026
96453,95670,99541,0.001465,0.016235,1.005737,-0.305176,0.000000,-0.122070,1.005869
96614,96007,102925,-0.000732,0.016357,1.007080,-0.366211,0.061035,-0.122070,1.007213
96775,95777,97491,0.001587,0.016602,1.005493,-0.244141,0.000000,-0.061035,1.005631
96935,90955,96892,0.001343,0.016724,1.005249,-0.183105,-0.061035,-0.061035,1.005389
97096,94965,97961,0.000366,0.015503,1.004272,0.061035,-0.244141,-0.122070,1.004392
97255,73912,53535,0.000610,0.017456,1.005005,-0.183105,0.000000,-0.061035,1.005157
97417,80908,97630,0.000366,0.016724,1.004150,-0.183105,0.122070,-0.183105,1.004290
97576,95869,104890,0.001099,0.015991,1.004028,-0.427246,0.000000,-0.122070,1.004156
97737,96903,101620,0.000000,0.016357,1.005859,-0.305176,-0.061035,-0.183105,1.005992
97897,95750,101930,0.000854,0.015747,1.005615,-0.305176,0.061035,-0.244141,1.005739
98058,95911,100424,0.000610,0.014771,1.007446,-0.244141,0.061035,-0.122070,1.007555
98219,95706,101312,0.000366,0.015991,1.006104,-0.366211,-0.122070,-0.122070,1.006231
98379,96731,102194,0.000854,0.016113,1.003784,-0.366211,0.000000,-0.183105,1.003914
98538,96490,101131,0.001709,0.015381,1.005127,-0.244141,0.000000,-0.061035,1.005246
98699,96084,104900,0.000122,0.015503,1.005249,-0.183105,-0.061035,-0.305176,1.005369
98860,99020,110903,0.001465,0.016479,1.005493,-0.305176,-0.061035,-0.122070,1.005629
99021,100996,113272,0.000122,0.015991,1.004883,-0.366211,-0.061035,-0.366211,1.005010
99181,101501,114011,0.001831,0.016113,1.006348,-0.244141,0.000000,-0.122070,1.006478
99340,101685,114269,0.000977,0.016357,1.005737,-0.366211,0.000000,-0.061035,1.005871
99501,101723,114391,0.001343,0.015869,1.005493,-0.244141,0.000000,-0.122070,1.005619
99662,101492,113718,0.000000,0.015381,1.006226,-0.244141,0.000000,-0.061035,1.006343
99823,101548,113907,0.000977,0.016602,1.005737,-0.305176,0.000000,-0.061035,1.005875
99982,101444,113568,0.000244,0.016479,1.004761,-0.244141,0.000000,-0.061035,1.004896
100143,101156,113113,0.000488,0.015625,1.005493,-0.305176,0.000000,-0.122070,1.005615
100304,101304,113847,-0.000854,0.016235,1.004883,-0.244141,-0.061035,-0.122070,1.005014
100463,101557,114174,0.001099,0.015991,1.006104,-0.305176,0.000000,-0.183105,1.006231
100624,101394,113559,0.000854,0.016479,1.005981,-0.244141,-0.061035,-0.366211,1.006117
100784,101434,113982,0.000610,0.017090,1.005981,-0.244141,-0.061035,-0.122070,1.006127
100944,101464,114048,0.000488,0.017456,1.005981,-0.305176,0.000000,-0.305176,1.006133
101106,101530,114280,0.000366,0.015625,1.006104,-0.366211,0.000000,-0.305176,1.006225
101265,101567,114373,0.000366,0.016235,1.005737,-0.244141,0.000000,-0.488281,1.005868
101426,101585,114516,0.000122,0.016235,1.005737,-0.244141,0.061035,-0.366211,1.005868
101587,101401,113761,-0.000366,0.016479,1.004028,-0.305176,0.061035,-0.305176,1.004164
101746,101344,113928,0.000122,0.016724,1.006104,-0.305176,0.061035,-0.305176,1.006243
101907,101290,113840,-0.001099,0.016357,1.005005,-0.305176,0.061035,-0.183105,1.005139
102068,101331,114041,0.000610,0.014526,1.005737,-0.366211,0.000000,-0.122070,1.005842
102229,101375,114142,0.000122,0.016479,1.004883,-0.244141,-0.061035,-0.122070,1.005018
